소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSDAQ,'068240,다원시스,16300,4239,62.45,4.08,1206,1015,2221,1149,https://finance.naver.com/item/main.nhn?code=068240
KOSPI,'009420,한올바이오파마,31300,16351,281.98,5.39,1331,900,2231,1150,https://finance.naver.com/item/main.nhn?code=009420
KOSPI,'009150,삼성전기,123000,91873,59.02,3.82,1197,1034,2231,1151,https://finance.naver.com/item/main.nhn?code=009150
KOSDAQ,'061250,화일약품,6810,981,36.81,2.69,1083,1148,2231,1152,https://finance.naver.com/item/main.nhn?code=061250
KOSPI,'002410,범양건영,1625,404,35.33,2.57,1071,1160,2231,1153,https://finance.naver.com/item/main.nhn?code=002410
KOSDAQ,'063080,게임빌,57400,3786,47.4,3.36,1152,1084,2236,1154,https://finance.naver.com/item/main.nhn?code=063080
KOSDAQ,'020180,대신정보통신,1135,436,51.59,3.57,1168,1069,2237,1155,https://finance.naver.com/item/main.nhn?code=020180
KOSDAQ,'092460,한라IMS,6850,785,37.64,2.68,1091,1149,2240,1156,https://finance.naver.com/item/main.nhn?code=092460
KOSDAQ,'019550,SBI인베스트먼트,748,1212,44.0,3.17,1139,1103,2242,1157,https://finance.naver.com/item/main.nhn?code=019550
KOSDAQ,'006050,국영지앤엠,1585,553,38.66,2.78,1102,1141,2243,1158,https://finance.naver.com/item/main.nhn?code=006050
KOSDAQ,'112040,위메이드,27650,4645,47.67,3.3,1153,1091,2244,1159,https://finance.naver.com/item/main.nhn?code=112040
KOSDAQ,'140520,대창스틸,2790,558,28.76,1.65,1004,1241,2245,1160,https://finance.naver.com/item/main.nhn?code=140520
KOSDAQ,'050120,라이브플렉스,762,634,36.29,2.41,1079,1168,2247,1161,https://finance.naver.com/item/main.nhn?code=050120
KOSPI,'002710,TCC동양,1920,429,27.83,1.52,994,1254,2248,1162,https://finance.naver.com/item/main.nhn?code=002710
KOSPI,'001420,태원물산,4065,309,37.29,2.54,1088,1162,2250,1163,https://finance.naver.com/item/main.nhn?code=001420
KOSPI,'011690,유양디앤유,7040,3981,85.85,4.44,1262,989,2251,1164,https://finance.naver.com/item/main.nhn?code=011690
KOSDAQ,'048410,현대바이오,6430,2168,164.87,4.96,1310,945,2255,1165,https://finance.naver.com/item/main.nhn?code=048410
KOSDAQ,'124500,아이티센,4385,688,60.07,3.65,1200,1058,2258,1166,https://finance.naver.com/item/main.nhn?code=124500
KOSDAQ,'093920,서원인텍,5270,980,32.13,1.92,1047,1212,2259,1167,https://finance.naver.com/item/main.nhn?code=093920
KOSPI,'101530,해태제과식품,10050,2926,39.26,2.59,1107,1159,2266,1168,https://finance.naver.com/item/main.nhn?code=101530
KOSDAQ,'037330,인지디스플레,1635,582,28.68,1.42,1002,1265,2267,1169,https://finance.naver.com/item/main.nhn?code=037330
KOSPI,'006890,태경화학,4375,508,31.03,1.7,1030,1238,2268,1170,https://finance.naver.com/item/main.nhn?code=006890
KOSPI,'003010,혜인,5460,694,34.78,1.99,1067,1204,2271,1171,https://finance.naver.com/item/main.nhn?code=003010
KOSPI,'001080,만호제강,17200,714,26.71,1.17,983,1289,2272,1172,https://finance.naver.com/item/main.nhn?code=001080
KOSPI,'084680,이월드,1915,1733,45.6,2.89,1147,1130,2277,1173,https://finance.naver.com/item/main.nhn?code=084680
KOSPI,'024890,대원화성,1445,596,38.03,2.21,1096,1183,2279,1174,https://finance.naver.com/item/main.nhn?code=024890
KOSDAQ,'072470,우리산업홀딩스,4135,781,32.56,1.83,1052,1227,2279,1175,https://finance.naver.com/item/main.nhn?code=072470
KOSPI,'036530,S&T홀딩스,11300,1842,27.1,1.14,987,1292,2279,1176,https://finance.naver.com/item/main.nhn?code=036530
KOSPI,'001260,남광토건,14900,1464,86.13,4.05,1263,1018,2281,1177,https://finance.naver.com/item/main.nhn?code=001260
KOSPI,'004440,대림씨엔에스,10700,1362,30.92,1.53,1028,1253,2281,1178,https://finance.naver.com/item/main.nhn?code=004440
KOSDAQ,'263540,샘코,4565,362,40.76,2.42,1115,1167,2282,1179,https://finance.naver.com/item/main.nhn?code=263540
KOSPI,'008930,한미사이언스,73800,46862,155.7,4.59,1306,977,2283,1180,https://finance.naver.com/item/main.nhn?code=008930
KOSDAQ,'001840,이화공영,6620,1311,79.76,3.87,1252,1031,2283,1181,https://finance.naver.com/item/main.nhn?code=001840
KOSDAQ,'024850,피에스엠씨,787,305,52.47,3.06,1172,1112,2284,1182,https://finance.naver.com/item/main.nhn?code=024850
KOSDAQ,'215480,토박스코리아,1020,384,68.0,3.56,1220,1070,2290,1183,https://finance.naver.com/item/main.nhn?code=215480
KOSDAQ,'263920,에스엔피월드,11950,941,110.65,4.2,1287,1004,2291,1184,https://finance.naver.com/item/main.nhn?code=263920
KOSPI,'103130,웅진에너지,1650,490,30.0,1.38,1020,1272,2292,1185,https://finance.naver.com/item/main.nhn?code=103130
KOSDAQ,'039610,화성밸브,12300,895,53.71,3.04,1181,1114,2295,1186,https://finance.naver.com/item/main.nhn?code=039610
KOSPI,'122900,아이마켓코리아,8110,2915,37.9,2.0,1094,1202,2296,1187,https://finance.naver.com/item/main.nhn?code=122900
KOSDAQ,'078130,국일제지,840,978,56.0,3.14,1193,1106,2299,1188,https://finance.naver.com/item/main.nhn?code=078130
KOSDAQ,'091440,텔레필드,3005,273,40.07,2.11,1112,1191,2303,1189,https://finance.naver.com/item/main.nhn?code=091440
KOSPI,'004690,삼천리,93200,3779,28.6,1.07,1001,1302,2303,1190,https://finance.naver.com/item/main.nhn?code=004690
KOSDAQ,'148250,알엔투테크놀로지,9400,595,76.42,3.66,1247,1057,2304,1191,https://finance.naver.com/item/main.nhn?code=148250
KOSPI,'093230,이아이디,196,475,32.67,1.49,1053,1256,2309,1192,https://finance.naver.com/item/main.nhn?code=093230
KOSPI,'001460,BYC,246500,1540,33.41,1.56,1058,1252,2310,1193,https://finance.naver.com/item/main.nhn?code=001460
KOSPI,'002880,대유에이텍,1080,1116,43.2,2.2,1133,1184,2317,1194,https://finance.naver.com/item/main.nhn?code=002880
KOSPI,'004270,남성,1390,503,37.57,1.68,1090,1239,2329,1195,https://finance.naver.com/item/main.nhn?code=004270
KOSDAQ,'038680,에스넷,3950,635,44.89,2.15,1141,1189,2330,1196,https://finance.naver.com/item/main.nhn?code=038680
KOSPI,'023450,동남합성,59800,786,54.91,2.75,1188,1144,2332,1197,https://finance.naver.com/item/main.nhn?code=023450
KOSDAQ,'054930,유신,19900,597,39.02,1.73,1103,1231,2334,1198,https://finance.naver.com/item/main.nhn?code=054930
KOSPI,'004770,써니전자,2080,624,59.43,2.81,1198,1137,2335,1199,https://finance.naver.com/item/main.nhn?code=004770
